Year,Loss_10,Loss_20,Loss_30,Aerial_Surveys,Aerial_Surveys_Estimate
1900,83985.22863,89476.56249,95639.91761,,
1901,84404.74795,89984.10498,96173.83635,,
1902,85313.62513,91006.5839,97253.6879,,
1903,85816.69378,91600.8249,97869.2579,,
1904,86347.11589,92223.9342,98510.35921,,
1905,87839.52454,93867.53375,100245.1296,,
1906,88403.05136,94534.40239,100929.8348,,
1907,88122.07977,94303.47919,100638.8502,,
1908,87129.33013,93316.62686,99525.62874,,
1909,87334.92263,93564.69101,99816.02572,,
1910,86051.59881,92125.3483,98220.66038,,
1911,79958.66979,85654.66556,91370.3068,,
1912,76595.0198,82099.58668,87622.64622,,
1913,73633.91689,78937.71398,84258.99081,,
1914,65581.68799,70431.71587,75296.77573,,
1915,64382.9354,69187.27455,74006.0718,,
1916,63320.44227,68091.21132,72875.88832,,
1917,61845.79024,66479.13699,71126.12694,,
1918,60728.8091,65251.7545,69788.16045,,
1919,60310.79489,64777.41084,69257.46075,,
1920,59231.51444,63664.52476,68110.42614,,
1921,58511.6793,62863.35154,67227.84582,,
1922,58730.89792,63075.82335,67433.69061,,
1923,59182.22721,63554.72294,67940.15203,,
1924,58422.3146,62708.31869,67007.15873,,
1925,57116.5264,61249.31491,65395.07974,,
1926,54941.26061,58918.06345,62907.07862,,
1927,53985.5688,57852.29585,61731.16699,,
1928,53016.3383,56799.65194,60594.73854,,
1929,50309.38285,53863.0417,57427.76692,,
1930,47915.18515,51227.08492,54549.87841,,
1931,44899.26961,47931.95921,50975.01799,,
1932,43420.49961,46314.09071,49217.64123,,
1933,39411.31999,41956.69836,44511.13186,,
1934,35733.89638,38030.04275,40334.06086,,
1935,30203.53343,32151.25595,34105.15183,,
1936,26803.01324,28558.33491,30318.68667,,
1937,24482.2008,26143.05444,27808.19844,,
1938,22515.64915,24107.68358,25703.35781,,
1939,20787.31421,22273.10898,23761.77728,,
1940,18041.93456,19389.30408,20738.524,,
1941,18350.4206,19703.85121,21059.15774,,
1942,18571.46756,19924.41428,21279.19082,,
1943,19024.38196,20390.19949,21757.91684,,
1944,18060.58875,19340.98378,20622.78738,,
1945,17022.18248,18229.00998,19436.5977,,
1946,17153.47329,18381.36883,19609.99517,,
1947,17432.87571,18714.69752,19997.23573,,
1948,17596.08477,18880.18997,20165.03234,,
1949,17303.94254,18597.69342,19892.11484,,
1950,17358.43761,18642.59266,19927.45093,,
1951,17584.41721,18877.05347,20170.41338,,
1952,18019.56273,19334.88032,20650.95537,,
1953,18352.52009,19685.87679,21020.00749,,
1954,18156.71581,19460.71429,20765.50181,,
1955,18145.40673,19463.8064,20782.95148,,
1956,18056.3927,19359.30911,20662.96958,,
1957,18554.70644,19884.88655,21215.83912,,
1958,18229.72393,19538.79993,20848.60024,,
1959,17986.38311,19276.28829,20566.88021,,
1960,16949.83498,18156.18181,19363.1503,,
1961,16464.18256,17638.88403,18814.14036,,
1962,15749.69736,16859.86114,17970.53888,,
1963,15478.5185,16558.22408,17638.41699,,
1964,15585.87712,16676.80903,17768.1857,,
1965,14153.96468,15119.22742,16084.87106,,
1966,13247.8562,14142.73949,15037.91425,,
1967,12168.7461,12963.83444,13759.1651,,
1968,10292.42417,10915.27373,11538.32482,,
1969,8786.790157,9281.703754,9776.74185,,
1970,7321.260404,7678.421938,8035.682509,,
1971,6166.99693,6411.58683,6656.264815,,
1972,5089.679887,5229.480461,5369.352692,,
1973,4647.42355,4734.226843,4821.098781,,
1974,3974.064827,3999.001822,4023.963698,,
1975,3773.014953,3773.014953,3773.014953,,
1976,3839.718761,3839.718761,3839.718761,,
1977,3965.453599,3965.453599,3965.453599,,
1978,4096.352279,4096.352279,4096.352279,,
1979,4155.192893,4155.192893,4155.192893,,
1980,4272.006895,4272.006895,4272.006895,,
1981,4396.997878,4396.997878,4396.997878,,
1982,4525.123729,4525.123729,4525.123729,,
1983,4666.70999,4666.70999,4666.70999,,
1984,4762.062289,4762.062289,4762.062289,,
1985,4851.73735,4851.73735,4851.73735,,
1986,4962.287364,4962.287364,4962.287364,,
1987,5058.11788,5058.11788,5058.11788,,
1988,5156.164931,5156.164931,5156.164931,,
1989,5270.058477,5270.058477,5270.058477,,
1990,5448.517447,5448.517447,5448.517447,,
1991,5597.22943,5597.22943,5597.22943,,
1992,5623.833932,5623.833932,5623.833932,,
1993,5596.554816,5596.554816,5596.554816,,
1994,5566.956975,5566.956975,5566.956975,,
1995,5534.843318,5534.843318,5534.843318,,
1996,5500,5500,5500,,
1997,,,,,
1998,,,,,
1999,,,,,
2000,,,,9700,13857.14286
2001,,,,10300,14714.28571
2002,,,,13100,18714.28571
2003,,,,15950,22785.71429
2004,,,,17640,25200
2005,,,,18300,26142.85714
2006,,,,20700,29571.42857
2007,,,,22000,31428.57143
2008,,,,22300,31857.14286
2009,,,,20400,29142.85714
2010,,,,23140,33057.14286
2011,,,,23941,34201.42857
2012,,,,28255,40364.28571
2013,,,,29670,42385.71429
2014,,,,32260,46085.71429
2015,,,,30285,43264.28571
2016,,,,30116,43022.85714
2017,,,,30268,43240
2018,,,,37579,53684.28571
2019,,,,38121,54458.57143
2020,,,,40075,57250
