"","Year","BP_GoF","GoB","BP_GoF.norm","GoB.norm"
"28",2001,38.661921831585,39.9819636963141,-0.802307180868382,0.452643133644495
"29",2002,39.9736113132948,41.794724465699,-0.42507567252753,1.19277610264669
"30",2003,44.9191159884039,41.9747638413301,0.997212311108864,1.26628446617353
"31",2004,43.6371354571953,41.1811963189151,0.628524861682152,0.942278399632292
"32",2005,43.1760653008096,37.1982703374545,0.495924735684658,-0.683912370689143
"33",2006,42.4596299178331,35.1159872421957,0.289883592626399,-1.53408874013911
"34",2007,42.9235453642954,35.9502892585128,0.423302001519534,-1.19345116743233
"35",2008,39.4494974453223,35.3056038208817,-0.575806670766452,-1.45667009575696
"36",2009,38.9394437555012,36.5398499850253,-0.722494073104421,-0.952739134002342
"37",2010,38.549123775745,37.4660741727303,-0.834747008537768,-0.574570613596638
"38",2011,41.2559090189456,36.616340837738,-0.0562970062428016,-0.921508646849331
"39",2012,47.3858973313555,39.3991588968243,1.70663909216051,0.214689480917608
"40",2013,46.0575648529681,38.189524563289,1.32462118976256,-0.279192704645273
"41",2014,43.288481699456,42.5075068944418,0.528254801767325,1.48379838432207
"42",2015,43.137691564279,39.6855923516711,0.484888752920478,0.331637534371621
"43",2016,38.1622479672438,40.7555389921958,-0.946009427590854,0.768486564370298
"44",2017,41.3113340298621,41.2886627386846,-0.0403572119855723,0.986155916001401
"45",2018,42.7138386738335,40.4233095158557,0.362992017902843,0.63284043120895
"46",2019,38.8241184465256,40.0565185193562,-0.755660718763594,0.48308315830935
"47",2020,38.6305385808152,41.8704943609463,-0.811332755281843,1.22371222972836
"48",2021,33.6669783201417,35.2011418002652,-2.23881338235358,-1.49932094454663
"49",2022,38.4122164304857,35.5000612868684,-0.874120476935019,-1.37727496316357
"50",2023,39.8503572280106,39.1811892466261,-0.460522571469127,0.125694547290338
"51",2024,49.4536236192527,39.7762422674258,2.3013007992916,0.368649032204326
