"","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Female 0",0,1,5,6,6,6,1,3,4,6,4,3,6,9,4,7,10,14,5,10,16,20,7
"Female 1",0,1,2,2,7,3,7,10,1,2,0,1,1,3,0,3,3,3,4,1,6,9,1
"Female 2",1,1,2,3,7,4,2,8,1,0,1,3,1,5,2,0,8,8,4,9,1,6,0
"Female 3",0,0,2,2,3,2,3,2,5,0,4,4,1,3,4,2,4,7,5,4,1,6,1
"Female 4",0,2,8,2,3,0,5,9,5,2,5,3,1,1,5,2,0,6,5,5,3,1,1
"Female 5+",0,13,19,33,17,12,22,27,27,13,18,27,11,17,23,10,24,29,18,18,17,26,3
"Male 0",1,0,4,4,12,8,2,4,5,7,12,3,3,12,6,13,13,18,13,15,25,18,5
"Male 1",1,0,1,3,5,0,1,2,4,0,2,1,2,3,6,1,3,4,3,2,1,4,0
"Male 2",0,0,5,0,4,2,6,4,3,1,4,1,4,6,1,2,7,10,5,3,2,3,1
"Male 3",0,1,5,2,3,3,3,1,0,1,4,6,2,4,2,0,4,3,5,3,4,5,0
"Male 4",0,1,3,0,0,2,4,3,1,4,1,0,4,3,2,1,3,4,5,3,2,0,0
"Male 5+",0,6,18,15,24,17,53,33,22,23,9,16,14,49,23,18,22,22,13,29,20,9,2
